Species;FAO;Stock;Mod;RCP;Year;Month;AreaBefore;AreaAfter;AreaAfter_Temp;AreaAfter_Sal;AreaAfter_O2
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2010;5;26529,44;14438,85;20262,81;22946,3;20182,1
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2010;6;26529,44;14470,24;19859,11;22745,66;22459,11
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2010;7;26529,44;12626,06;16386,41;22766,64;23852,99
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2010;8;26529,44;11998,78;14583,13;22436,36;24720,74
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2010;3;26529,44;15290,53;25023,3;22655,39;19339,84
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2010;4;26529,44;16096,55;26069,81;19880,13;22743,38
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2010;5;26529,44;15830,14;23134,05;21138,4;23552,33
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2010;6;26529,44;10126,02;18296,24;21322,11;22240,84
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2010;7;26529,44;8854,57;16792,19;21495,58;22265,69
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2010;8;26529,44;8074,692;16047,02;22029,6;21961,21
Torsk;COD;ALL;EC-EARTH;rcp45;2010;3;26529,44;14567,69;16246,16;23407,64;26077,55
Torsk;COD;ALL;EC-EARTH;rcp45;2010;4;26529,44;10437,31;11917,21;21279,9;26038,05
Torsk;COD;ALL;EC-EARTH;rcp45;2010;5;26529,44;16014,97;17058,73;22926,82;26114,31
Torsk;COD;ALL;EC-EARTH;rcp45;2010;6;26529,44;11451,92;12181,11;24025,6;26244,71
Torsk;COD;ALL;EC-EARTH;rcp45;2010;7;26529,44;11231,3;11878,4;24489,69;26198,3
Torsk;COD;ALL;EC-EARTH;rcp45;2010;8;26529,44;12854,47;13710,04;24725,14;26317,31
Torsk;COD;ALL;EC-EARTH;rcp85;2010;3;26529,44;12356,82;14615,66;25105,32;24372,79
Torsk;COD;ALL;EC-EARTH;rcp85;2010;4;26529,44;16462,08;20346;22561,05;25720,67
Torsk;COD;ALL;EC-EARTH;rcp85;2010;5;26529,44;17788,04;23003,04;21680,62;25476,49
Torsk;COD;ALL;EC-EARTH;rcp85;2010;6;26529,44;15464,3;20450,85;22262,93;25203,68
Torsk;COD;ALL;EC-EARTH;rcp85;2010;7;26529,44;12499,38;17156,52;22785,64;25150,63
Torsk;COD;ALL;EC-EARTH;rcp85;2010;8;26529,44;11710,1;16329,9;22325,89;24931,81
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2010;3;26529,44;4252,679;25561,39;7301,729;21358,38
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2010;4;26529,44;3739,788;26307,36;6221,486;21594,04
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2010;5;26529,44;3554,274;25313,82;6183,169;21697,33
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2010;6;26529,44;3189,412;22831,03;5853,784;21860,67
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2010;7;26529,44;2075,46;21105,55;5844,254;21569,7
Torsk;COD;ALL;IPSL-CM5A-MR;rcp45;2010;8;26529,44;1794,925;19802,69;6620,489;21446,89
Torsk;COD;ALL;HadGEM2-ES;rcp45;2010;3;26529,44;12544,55;18940,88;23984,89;19298,58
Torsk;COD;ALL;HadGEM2-ES;rcp45;2010;4;26529,44;14992,21;21751,27;23618,07;20888,6
Torsk;COD;ALL;HadGEM2-ES;rcp45;2010;5;26529,44;16678,28;22460,37;23205,19;22201,6
Torsk;COD;ALL;HadGEM2-ES;rcp45;2010;6;26529,44;13157,7;19884,25;22143,63;21481,57
Torsk;COD;ALL;HadGEM2-ES;rcp45;2010;7;26529,44;9330,215;15962,81;23336;21539
Torsk;COD;ALL;HadGEM2-ES;rcp45;2010;8;26529,44;8960,407;15795,2;23393,47;20459,86
Torsk;COD;ALL;HadGEM2-ES;rcp85;2010;3;26529,44;10052,67;14113,91;23811,42;14820,65
Torsk;COD;ALL;HadGEM2-ES;rcp85;2010;4;26529,44;10868,37;14539,51;23839,04;14918,18
Torsk;COD;ALL;HadGEM2-ES;rcp85;2010;5;26529,44;9209,322;14163,18;21844,46;15256,16
Torsk;COD;ALL;HadGEM2-ES;rcp85;2010;6;26529,44;8898,104;13929,52;20668,14;17277,46
Torsk;COD;ALL;HadGEM2-ES;rcp85;2010;7;26529,44;6018,652;10142,01;23426,62;17811,64
Torsk;COD;ALL;HadGEM2-ES;rcp85;2010;8;26529,44;5615,101;10152,24;23313,9;17774,55
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2011;3;26529,44;14943,69;20831,75;24546,12;19416,09
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2011;4;26529,44;16320,29;25440,03;22866,48;20210,85
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2011;5;26529,44;16519,46;24921,76;21639,78;21840,96
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2011;6;26529,44;12964,76;20411,02;22376,71;22150,31
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2011;7;26529,44;10246,75;17103,69;22950,31;22426,34
Torsk;COD;ALL;MPI-ESM-LR;rcp45;2011;8;26529,44;10565,8;16339,8;22914,25;22488,78
Torsk;COD;ALL;MPI-ESM-LR;rcp85;2011;3;26529,44;15717,02;20899,06;23704,01;20751,99
